input_value,feature,score,score_std,intercept
18 to 20,AgeOfPolicyHolder,-0.35260687302594823,0.38737328011276767,-1.0523352210924692
21 to 25,AgeOfPolicyHolder,0.5256929695428979,0.16060692813907906,-1.0523352210924692
26 to 30,AgeOfPolicyHolder,-0.07906254826697948,0.09702369946816719,-1.0523352210924692
31 to 35,AgeOfPolicyHolder,0.005004968039263898,0.09291454419867232,-1.0523352210924692
36 to 40,AgeOfPolicyHolder,-0.031793547800666816,0.14950541622754543,-1.0523352210924692
41 to 50,AgeOfPolicyHolder,0.12651690905349808,0.06480148300234112,-1.0523352210924692
51 to 65,AgeOfPolicyHolder,-0.3001504926086021,0.27909361539498284,-1.0523352210924692
over 65,AgeOfPolicyHolder,0.3110386687861955,0.4472979637245279,-1.0523352210924692
1 vehicle,NumberOfCars,0.008822748044018572,0.009506104464129691,-1.0523352210924692
2 vehicles,NumberOfCars,-0.21482740028291397,0.17729561966750224,-1.0523352210924692
3 to 4,NumberOfCars,0.2059744869094442,0.16352691738111144,-1.0523352210924692
5 to 8,NumberOfCars,-4.486496458432219,1.568224020194548,-1.0523352210924692
more than 8,NumberOfCars,-4.72649569074644,1.7417176383875124,-1.0523352210924692
1,PastNumberOfClaims,-0.16725714144954587,0.036704698855509754,-1.0523352210924692
2 to 4,PastNumberOfClaims,0.040013712117671865,0.028978991636804723,-1.0523352210924692
more than 4,PastNumberOfClaims,0.11092516397749703,0.06850343903143832,-1.0523352210924692
none,PastNumberOfClaims,0.06116554585741986,0.02279438212148344,-1.0523352210924692
Sedan - Collision,PolicyType,-0.022030560584115032,0.0025893772924167656,-1.0523352210924692
Sport - Collision,PolicyType,0.3190539042114278,0.03967866041417989,-1.0523352210924692
Utility - Collision,PolicyType,0.14935001858567837,0.2503909948674164,-1.0523352210924692
External,AgentType,0.015055121182548944,0.0032462202520574836,-1.0523352210924692
Internal,AgentType,-0.8757326279448995,0.18882750645125948,-1.0523352210924692
1 to 2,NumberOfSuppliments,-0.0867075629802275,0.047790223265928945,-1.0523352210924692
3 to 5,NumberOfSuppliments,-0.3344664011002889,0.06912814495381235,-1.0523352210924692
more than 5,NumberOfSuppliments,-0.10132955382644143,0.03770129965009326,-1.0523352210924692
none,NumberOfSuppliments,0.15991139390998904,0.03132269465808624,-1.0523352210924692
1 to 7,Days_Policy_Accident,-5.681990020764232,1.7165763212759713,-1.0523352210924692
15 to 30,Days_Policy_Accident,-5.167753482193014,1.7148494332354187,-1.0523352210924692
8 to 15,Days_Policy_Accident,-0.07685037409348987,0.33499036715617825,-1.0523352210924692
