input_value,feature,score,score_std,intercept
7 years,AgeOfVehicle,0.023850004872280672,0.03438946622737144,-0.5263464199912715
more than 7,AgeOfVehicle,-0.04934682725360649,0.037997548901563344,-0.5263464199912715
new,AgeOfVehicle,-0.20679877723075538,0.3709913739186804,-0.5263464199912715
Female,Sex,-0.3569472774824376,0.10735577992698575,-0.5263464199912715
Male,Sex,0.042212737545608725,0.012695940403369372,-0.5263464199912715
Divorced,MaritalStatus,-0.0196223978324895,0.38423536376648765,-0.5263464199912715
Married,MaritalStatus,0.03570521833986588,0.011556730182684516,-0.5263464199912715
Single,MaritalStatus,-0.07417741899755524,0.030156534172019606,-0.5263464199912715
Widow,MaritalStatus,-5.32004258875773,2.0306887603940935,-0.5263464199912715
16 to 17,AgeOfPolicyHolder,0.8824264369909122,0.09469055094149655,-0.5263464199912715
21 to 25,AgeOfPolicyHolder,-1.3234491730229663,1.261994882148506,-0.5263464199912715
26 to 30,AgeOfPolicyHolder,0.2389296380606133,0.13425232564861753,-0.5263464199912715
31 to 35,AgeOfPolicyHolder,0.17447849400353715,0.06266493830493788,-0.5263464199912715
36 to 40,AgeOfPolicyHolder,-0.03938443434258056,0.020837857958574926,-0.5263464199912715
41 to 50,AgeOfPolicyHolder,-0.19172006664401497,0.046922044407836115,-0.5263464199912715
51 to 65,AgeOfPolicyHolder,-0.23520072725821525,0.04231241661801362,-0.5263464199912715
over 65,AgeOfPolicyHolder,-0.12902893409031901,0.09110814085282629,-0.5263464199912715
1 vehicle,NumberOfCars,0.021029421284005877,0.0055967473370961175,-0.5263464199912715
2 vehicles,NumberOfCars,-0.29005064780461115,0.12486891508945899,-0.5263464199912715
3 to 4,NumberOfCars,-0.1517433542022104,0.12982596850832842,-0.5263464199912715
5 to 8,NumberOfCars,-5.218516454413596,1.7578901488284377,-0.5263464199912715
more than 8,NumberOfCars,-5.542186109516877,1.9373937547097175,-0.5263464199912715
1,PastNumberOfClaims,0.06159202001293746,0.03513302774277117,-0.5263464199912715
2 to 4,PastNumberOfClaims,0.11076628598047766,0.026073687205113882,-0.5263464199912715
more than 4,PastNumberOfClaims,-0.20762907335171604,0.1161131327744389,-0.5263464199912715
none,PastNumberOfClaims,-0.08693434935975902,0.02342768877452418,-0.5263464199912715
Sedan - All Perils,PolicyType,0.024575771148042668,0.0038778019637062755,-0.5263464199912715
Sport - All Perils,PolicyType,-5.040918425957254,0.6176857521816195,-0.5263464199912715
Utility - All Perils,PolicyType,-0.04132892671127736,0.03553913667733356,-0.5263464199912715
External,AgentType,0.0,0.0,-0.5263464199912715
1 to 2,NumberOfSuppliments,0.16673669816388126,0.048949303626951914,-0.5263464199912715
3 to 5,NumberOfSuppliments,-0.5205418842165834,0.05340676844750041,-0.5263464199912715
more than 5,NumberOfSuppliments,-0.09239920695170965,0.05025378531374929,-0.5263464199912715
none,NumberOfSuppliments,0.10642204754516787,0.030773058728814234,-0.5263464199912715
1 to 7,Days_Policy_Accident,-0.28657447156110016,1.1332696872214718,-0.5263464199912715
15 to 30,Days_Policy_Accident,1.0763001526864842,0.5200058945000002,-0.5263464199912715
8 to 15,Days_Policy_Accident,0.21091247651127135,0.5353561375358443,-0.5263464199912715
more than 30,Days_Policy_Accident,-0.004911198636960094,0.0034058557769140706,-0.5263464199912715
none,Days_Policy_Accident,0.5962311182343694,0.2767817142163886,-0.5263464199912715
15 to 30,Days_Policy_Claim,-0.05130565844286982,0.2872788152741119,-0.5263464199912715
8 to 15,Days_Policy_Claim,0.03992064813541179,2.1729798159722082,-0.5263464199912715
more than 30,Days_Policy_Claim,0.00019543898651618188,0.0016212027645255743,-0.5263464199912715
No,PoliceReportFiled,0.042064695471866774,0.006274412265158772,-0.5263464199912715
Yes,PoliceReportFiled,-1.624227790922712,0.2422714501664009,-0.5263464199912715
No,WitnessPresent,0.007387134471709425,0.008302404492354826,-0.5263464199912715
Yes,WitnessPresent,-1.1956213941248222,1.3437595419107624,-0.5263464199912715
change,AddressChange_Claim_2,0.16517893404438522,0.08506361419542158,-0.5263464199912715
no_change,AddressChange_Claim_2,-0.011319674216407442,0.005829389842796812,-0.5263464199912715
